Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.03150524,-0.018298373,0.014470483,0.045609437,-0.20338616,0.13604619
0.002,0.030423123,-0.02643894,0.02584366,0.04627908,-0.20424129,0.13591579
0.004,0.029284598,-0.034919925,0.037224576,0.04716833,-0.20480768,0.13580285
0.006,0.027991638,-0.043659694,0.04879862,0.048330635,-0.20496781,0.13571961
0.008,0.026745131,-0.052707143,0.060401894,0.049816363,-0.20460021,0.13565603
0.01,0.025245246,-0.06204694,0.071919784,0.051665746,-0.20357138,0.13562402
0.012,0.023622392,-0.071620695,0.08325677,0.053910293,-0.20175517,0.13561758
0.014,0.02186254,-0.081480935,0.0943153,0.056569085,-0.19904003,0.13564798
0.016,0.019979345,-0.09160723,0.104956694,0.059629865,-0.1953528,0.13573043
0.018,0.017949272,-0.10194974,0.11502627,0.06304115,-0.19068047,0.13588305
0.02,0.015755925,-0.112591855,0.12448047,0.06672079,-0.18507986,0.13613078
0.022,0.013524473,-0.12336924,0.13326979,0.070553854,-0.17868704,0.1364955
0.024,0.011136491,-0.1342991,0.14137681,0.0743957,-0.17171127,0.13699803
0.026,0.008671977,-0.14532274,0.1487817,0.07808854,-0.16440976,0.13765578
0.028,0.0060193613,-0.15632743,0.15536118,0.08154459,-0.15704884,0.13848068
0.03,0.0032188296,-0.16734335,0.16109753,0.084544905,-0.14994764,0.13947186
0.032,0.00017984211,-0.17825007,0.1660493,0.086974375,-0.14340816,0.14063121
0.034,-0.0030323938,-0.18906167,0.1701216,0.08874827,-0.13767941,0.14193957
0.036,-0.0065468103,-0.19966197,0.17341773,0.08981928,-0.13293576,0.1433733
0.038,-0.010388985,-0.2099562,0.17595652,0.09018052,-0.12928316,0.14489119
0.04,-0.014748231,-0.21984777,0.17770272,0.08984742,-0.12675051,0.14644964
0.042,-0.019619927,-0.2292781,0.17877117,0.08888108,-0.12526862,0.14801298
0.044,-0.025033295,-0.23816016,0.1791296,0.087374374,-0.124706,0.14954233
0.046,-0.031137116,-0.24647602,0.17880403,0.08544974,-0.124870405,0.1510102
0.048,-0.038050413,-0.2541204,0.17776357,0.08324413,-0.12553984,0.1523753
0.05,-0.0459186,-0.26104787,0.17600249,0.08092473,-0.12646438,0.15359634
0.052,-0.054834418,-0.26721525,0.17345655,0.07867577,-0.12739326,0.15465192
0.054,-0.06486799,-0.27246106,0.17015144,0.0766623,-0.12807935,0.15554482
0.056,-0.07612158,-0.27716368,0.16622475,0.07505545,-0.12830861,0.15628856
0.058,-0.0886351,-0.2807881,0.16136898,0.07398467,-0.12792347,0.15691736
0.06,-0.10247719,-0.28327823,0.15566117,0.07354875,-0.12682873,0.15748565
0.062,-0.11763193,-0.2847565,0.14910427,0.07379811,-0.12499536,0.15807033
0.064,-0.13388354,-0.28528786,0.14171556,0.0747479,-0.12245866,0.15873697
