Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.15658744,0.33532774,0.05155445,-0.42980632,-0.9788875,-0.49402338
0.002,0.06254274,0.42072305,-0.01834431,-0.40948954,-0.94756144,-0.48737454
0.004,-0.033180118,0.50720936,-0.09266344,-0.3858096,-0.9105542,-0.4803497
0.006,-0.13009635,0.59687376,-0.17464164,-0.35831597,-0.8670068,-0.47319025
0.008,-0.22866294,0.69069034,-0.2665289,-0.3264348,-0.8159038,-0.46600977
0.01,-0.32904768,0.788015,-0.37031916,-0.28946936,-0.7561022,-0.458801
0.012,-0.43148914,0.88792557,-0.48731443,-0.2467419,-0.68645006,-0.45149907
0.014,-0.5363103,0.98993963,-0.6170609,-0.19773994,-0.6060622,-0.44409093
0.016,-0.64379954,1.0943028,-0.75810534,-0.14229411,-0.5146311,-0.4366624
0.018,-0.75442356,1.2013954,-0.90865886,-0.08069457,-0.41266498,-0.42940226
0.02,-0.8686421,1.3114002,-1.067448,-0.013769962,-0.3016553,-0.42260346
0.022,-0.9866358,1.4241459,-1.2330756,0.057002362,-0.18420236,-0.4166563
0.024,-1.1086287,1.5391704,-1.4038744,0.1293575,-0.06424691,-0.41203925
0.026,-1.2348113,1.6560307,-1.5774373,0.20036267,0.05327919,-0.40923762
0.028,-1.3651974,1.7741919,-1.7512617,0.2682666,0.16541725,-0.408335
0.03,-1.4999578,1.8928659,-1.9223505,0.3282508,0.2641536,-0.40992054
0.032,-1.6388916,2.0111403,-2.087475,0.3779196,0.34537596,-0.41399
0.034,-1.7818284,2.1278772,-2.2429984,0.4151869,0.4058011,-0.42035642
0.036,-1.928019,2.2419653,-2.3852124,0.43826926,0.4430399,-0.42881003
0.038,-2.0765936,2.3520195,-2.5105436,0.44588798,0.45575377,-0.43930906
0.04,-2.2263942,2.4566875,-2.6157894,0.43749565,0.4437022,-0.4519592
0.042,-2.3759687,2.5545056,-2.6984425,0.41338807,0.4077605,-0.46685567
0.044,-2.5234227,2.643726,-2.7562876,0.37474164,0.35000044,-0.48393893
0.046,-2.6666303,2.7225857,-2.7881873,0.32354742,0.27373382,-0.5029409
