Date, , 01/02/2024 15:05:52, Ax, 0     , Ay, 0     , Az,   0   , Mx, yaw, 0   , pitch, 0   , roll, 0   , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:53, Ax, 9.22  , Ay, 4.1   , Az, 254.98, Mx, yaw, -89 , pitch, -31 , roll, -69 , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:54, Ax, 7.17  , Ay, 0     , Az, 256   , Mx, yaw, 33  , pitch, -1  , roll, 15  , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:55, Ax, 9.22  , Ay, 2.05  , Az, 257.02, Mx, yaw, -42 , pitch, 43  , roll, 16  , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:56, Ax, 10.24 , Ay, -2.05 , Az, 258.05, Mx, yaw, -50 , pitch, 15  , roll, -20 , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:57, Ax, 11.26 , Ay, -2.05 , Az, 262.14, Mx, yaw, 10  , pitch, -10 , roll, 26  , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:58, Ax, 8.19  , Ay, -10.24, Az, 261.12, Mx, yaw, -52 , pitch, 10  , roll, 15  , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:05:59, Ax, 5.12  , Ay, -7.17 , Az, 258.05, Mx, yaw, 7   , pitch, 9   , roll, -12 , lat, 13.55635667, lon, 80.02544433, speed, 0
Date, , 01/02/2024 15:06:00, Ax, 25.6  , Ay, -6.14 , Az, 248.83, Mx, yaw, 0   , pitch, -16 , roll, -229, lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:01, Ax, -11.26, Ay, -2.05 , Az, 264.19, Mx, yaw, 25  , pitch, 106 , roll, 29  , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:02, Ax, -8.19 , Ay, 7.17  , Az, 258.05, Mx, yaw, 58  , pitch, -33 , roll, -163, lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:03, Ax, 23.55 , Ay, -15.36, Az, 264.19, Mx, yaw, -78 , pitch, -147, roll, 11  , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:04, Ax, 15.36 , Ay, 4.1   , Az, 259.07, Mx, yaw, -67 , pitch, -21 , roll, -21 , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:05, Ax, 11.26 , Ay, -11.26, Az, 248.83, Mx, yaw, 136 , pitch, 86  , roll, -30 , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:06, Ax, 12.29 , Ay, 15.36 , Az, 238.59, Mx, yaw, 52  , pitch, 20  , roll, -56 , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:07, Ax, 5.12  , Ay, 2.05  , Az, 244.74, Mx, yaw, 258 , pitch, 335 , roll, 64  , lat, 13.556357  , lon, 80.02544517, speed, 0.262
Date, , 01/02/2024 15:06:08, Ax, 7.17  , Ay, 10.24 , Az, 247.81, Mx, yaw, 206 , pitch, 10  , roll, -28 , lat, 13.55635717, lon, 80.02544517, speed, 0.103
Date, , 01/02/2024 15:06:09, Ax, 6.14  , Ay, -19.46, Az, 256   , Mx, yaw, -83 , pitch, 109 , roll, -11 , lat, 13.55635717, lon, 80.02544517, speed, 0.103
Date, , 01/02/2024 15:06:10, Ax, 9.22  , Ay, 3.07  , Az, 232.45, Mx, yaw, -165, pitch, -281, roll, 106 , lat, 13.55635717, lon, 80.02544517, speed, 0.103
Date, , 01/02/2024 15:06:11, Ax, -10.24, Ay, -26.62, Az, 248.83, Mx, yaw, -92 , pitch, -68 , roll, -36 , lat, 13.55635717, lon, 80.02544517, speed, 0.103
Date, , 01/02/2024 15:06:12, Ax, -1.02 , Ay, -4.1  , Az, 250.88, Mx, yaw, 81  , pitch, -23 , roll, 37  , lat, 13.55635717, lon, 80.02544517, speed, 0.103
