Time, 01/02/2024 15:05:52, X, -297369.7369101366 , Y, -3483106.470537965 , Z, 5326272.763806465  , Lat, 13.55635667          , Lon, 80.02544433        , Alt, 0                  , Bx, [0.07111624] , [0.83298807] , [0.54870152] , By, [0.99637537] , [-0.08506541], [0.]         , Bz, [0.04667552] , [0.54671268] , [-0.83601833]
Time, 01/02/2024 15:05:53, X, -297482.0032500565 , Y, -3482843.8601207836, Z, 5326030.479598612  , Lat, 0.9899982715695806   , Lon, -1.6560030548404887, Alt, -340.8845040118322 , Bx, [0.48036818] , [0.6074823]  , [0.63262285] , By, [0.469571]   , [-0.75226869], [0.46216328] , Bz, [-0.31845032], [0.67674691] , [-0.66377934]
Time, 01/02/2024 15:05:54, X, -298905.68359280395, Y, -3481638.3034345466, Z, 5325838.818254484  , Lat, 0.9901234674836344   , Lon, -1.6564383492758665, Alt, -1093.4856425886974, Bx, [0.39208901] , [0.83991902] , [-0.37523625], By, [-0.7216252] , [0.18015653] , [0.66843152] , Bz, [-0.84040336], [0.53338291] , [0.09604618]
Time, 01/02/2024 15:05:55, X, -302605.6936164651 , Y, -3480635.5537193753, Z, 5328043.8065664675 , Lat, 0.9904026269047834   , Lon, -1.6575180505799931, Alt, 376.99938684981316 , Bx, [0.45937447] , [0.69559559] , [-0.55237838], By, [-0.35671385], [-0.35123501], [0.86567268] , Bz, [-0.64810974], [-0.13105795], [0.75018503]
Time, 01/02/2024 15:05:56, X, -310828.8558786708 , Y, -3481069.361111697 , Z, 5325890.825175097  , Lat, 0.9900658154384782   , Lon, -1.6598513504275516, Alt, -790.3051624968648 , Bx, [0.74986647] , [-0.13142101], [-0.64840481], By, [-0.25661194], [-0.7565101] , [-0.60153369], Bz, [-0.72097882], [-0.31384037], [-0.61781369]
Time, 01/02/2024 15:05:57, X, -325441.72840340954, Y, -3487972.375548292 , Z, 5323233.697880875  , Lat, 0.9887608260722133   , Lon, -1.6638309623164824, Alt, 1494.0653898371384 , Bx, [0.48330083] , [0.70702896] , [-0.51626579], By, [0.51335786] , [0.26375673] , [0.81663707] , Bz, [-0.63853595], [-0.75754289], [-0.13564882]
Time, 01/02/2024 15:05:58, X, -347144.39397552615, Y, -3502935.2018044344, Z, 5312467.692110738  , Lat, 0.9856074277202632   , Lon, -1.6695748048220755, Alt, 1862.562305082567  , Bx, [0.29541356] , [0.95514771] , [-0.02058349], By, [0.84973128] , [0.44802795] , [0.27789875] , Bz, [-0.44487452], [-0.68943176], [-0.57163845]
Time, 01/02/2024 15:05:59, X, -370603.07573916187, Y, -3535067.054066964 , Z, 5305137.285024573  , Lat, 0.9804898009218892   , Lon, -1.675250989992156 , Alt, 14806.709371565841 , Bx, [0.78729844] , [0.48661465] , [-0.37863882], By, [0.36274099] , [-0.55844056], [-0.74603158], Bz, [-0.04299199], [-0.99465092], [0.09392142]
Time, 01/02/2024 15:06:00, X, -376454.514174478  , Y, -3549581.3323284374, Z, 5299471.282920946  , Lat, 0.978039666852355    , Lon, -1.6764573864944081, Alt, 18494.62121697422  , Bx, [0.82243518] , [0.44058804] , [0.35983684] , By, [0.55461177] , [0.05598064] , [0.83022404] , Bz, [0.79512059] , [0.59248824] , [0.12938677]
Time, 01/02/2024 15:06:01, X, -393371.68920439895, Y, -3583772.3438029434, Z, 5319793.14815922   , Lat, 0.9751846983972599   , Lon, -1.6801233587940763, Alt, 55380.3682381073   , Bx, [-0.17030169], [-0.30447787], [0.93717157] , By, [0.60760614] , [0.40635226] , [0.68241675] , Bz, [-0.08280596], [-0.38869266], [0.91763892]
Time, 01/02/2024 15:06:02, X, -388842.5665825703 , Y, -3603295.3140013153, Z, 5304686.750721679  , Lat, 0.9714279032961267   , Lon, -1.678293383175407 , Alt, 53534.00526236463  , Bx, [0.96864145] , [-0.10293809], [0.22613599] , By, [0.13079266] , [-0.98977571], [-0.05689752], Bz, [0.60507885] , [0.38496125] , [-0.69691062]
Time, 01/02/2024 15:06:03, X, -389366.15818638337, Y, -3673594.306476856 , Z, 5310037.190702456  , Lat, 0.962964847743391    , Lon, -1.6763925985439148, Alt, 97647.16152946651  , Bx, [0.67515292] , [0.59331855] , [0.43833964] , By, [-0.85778344], [-0.28967018], [-0.424616]  , Bz, [-0.05380188], [-0.98117061], [0.18549825]
Time, 01/02/2024 15:06:04, X, -406241.6027991476 , Y, -3786437.137388302 , Z, 5301191.086487803  , Lat, 0.9478537374115492   , Lon, -1.6776761025333702, Alt, 156232.59664429817 , Bx, [-0.49507898], [0.2293384]  , [0.83803383] , By, [0.21411633] , [0.00445642] , [-0.976798]  , Bz, [-0.2478678] , [-0.94372869], [-0.21894685]
Time, 01/02/2024 15:06:05, X, -416459.2240103497 , Y, -3826098.610420965 , Z, 5285702.4482901925 , Lat, 0.9414372776483482   , Lon, -1.6792164618413015, Alt, 167434.0046978742  , Bx, [-0.6078861] , [-0.03110812], [-0.79341463], By, [-0.53548725], [-0.53947476], [-0.64978488], Bz, [0.04339549] , [0.98828865] , [-0.14629553]
Time, 01/02/2024 15:06:06, X, -476370.9084313716 , Y, -3905131.4354868364, Z, 5227986.496278233  , Lat, 0.9256947474174373   , Lon, -1.692182483262175 , Alt, 171845.2202459108  , Bx, [0.29404801] , [-0.94940339], [0.11031303] , By, [0.43389578] , [-0.66714115], [0.60552221] , Bz, [-0.72736746], [-0.09948012], [-0.67899947]
Time, 01/02/2024 15:06:07, X, -480019.9962560184 , Y, -4009990.909901917 , Z, 5113997.362313376  , Lat, 0.9023559854424609   , Lon, -1.6899354222403353, Alt, 145395.8839261597  , Bx, [0.16045382] , [-0.75517281], [-0.63558524], By, [0.158423]   , [-0.8851093] , [-0.43758849], Bz, [0.52073278] , [-0.27914634], [-0.80679284]
Time, 01/02/2024 15:06:08, X, -458686.83289162134, Y, -4036978.9760606866, Z, 4986453.957766874  , Lat, 0.8870970002565933   , Lon, -1.6839324449710595, Alt, 61131.523589443415 , Bx, [-0.55685424], [0.0217031]  , [0.83032664] , By, [-0.12348302], [-0.26602966], [0.9560231]  , Bz, [0.44846087] , [0.80884011] , [-0.38034264]
Time, 01/02/2024 15:06:09, X, -506599.9235193072 , Y, -4135435.306556791 , Z, 4778225.9129702365 , Lat, 0.8536992898124214   , Lon, -1.6926911978216435, Alt, -31448.633175493218, Bx, [-0.3327188] , [0.66044487] , [0.67313503] , By, [0.08883995] , [-0.88852987], [0.45013569] , Bz, [-0.4915063] , [-0.46969281], [-0.73335545]
Time, 01/02/2024 15:06:10, X, -565204.7860115416 , Y, -4114051.2015910656, Z, 4612532.009432348  , Lat, 0.8378116495481454   , Lon, -1.7073256341453842, Alt, -164525.53558131028, Bx, [-0.32190143], [0.59426721] , [0.73703864] , By, [-0.7574435] , [-0.17451774], [0.62914458] , Bz, [-0.22244008], [0.95687203] , [0.18685914]
Time, 01/02/2024 15:06:11, X, -632992.5665055893 , Y, -4212488.197713705 , Z, 4547665.910567125  , Lat, 0.8180730329657089   , Lon, -1.7199461358491117, Alt, -139868.35002959426, Bx, [0.99585912] , [-0.08661158], [0.02762336] , By, [0.68433273] , [0.54191569] , [-0.48786893], Bz, [-0.00213396], [-0.55512111], [0.83176679]
Time, 01/02/2024 15:06:12, X, -808841.6307865456 , Y, -4385545.272167058 , Z, 4406670.424848259  , Lat, 0.7794385228883203   , Lon, -1.7531803212142023, Alt, -101552.14941916801, Bx, [-0.56008297], [-0.20674006], [0.80222542] , By, [-0.51469269], [0.85666429] , [-0.03489606], Bz, [-0.74140406], [-0.63958568], [-0.20310137]
Time, 01/02/2024 15:06:13, X, -925925.6331718389 , Y, -4643650.232867222 , Z, 4153471.235435881  , Lat, 0.7200595719201469   , Lon, -1.7676111227798863, Alt, -72416.90005079377 , Bx, [0.6650394]  , [0.72946352] , [0.16001742] , By, [-0.78432979], [0.59505199] , [-0.17532803], Bz, [0.16012062] , [-0.67761552], [-0.71777336]
Time, 01/02/2024 15:06:14, X, -1138399.9821065818, Y, -4880581.8135473095, Z, 4121287.182731457  , Lat, 0.6882219389501412   , Lon, -1.7999500586046349, Alt, 117531.52882342134 , Bx, [-0.66843645], [-0.42472966], [-0.6105714] , By, [0.67839263] , [0.46455498] , [-0.56918548], Bz, [-0.36994646], [0.00069459] , [0.92905282]
Time, 01/02/2024 15:06:15, X, -1169287.4548596588, Y, -5196676.118094194 , Z, 4081436.4631012664 , Lat, 0.6538118068088398   , Lon, -1.7921172398027467, Alt, 339499.19385996927 , Bx, [-0.84538471], [-0.35984194], [-0.39476381], By, [0.8135941]  , [0.25797717] , [-0.52106854], Bz, [0.89294798] , [-0.33451659], [0.30123507]
Time, 01/02/2024 15:06:16, X, -1094035.1988495553, Y, -5393288.667429503 , Z, 3894515.6502762074 , Lat, 0.6158688107540093   , Lon, -1.7709319373641303, Alt, 370789.6597855678  , Bx, [-0.95646101], [0.27073681] , [-0.10901336], By, [0.74974936] , [-0.63748153], [-0.17746323], Bz, [0.67357356] , [0.49079138] , [-0.55265041]
Time, 01/02/2024 15:06:17, X, -1057180.59946221  , Y, -5467289.006132728 , Z, 3903672.2523564626 , Lat, 0.6114100916225552   , Lon, -1.761803708403833 , Alt, 429554.1649395637  , Bx, [-0.28026117], [-0.93926467], [0.19807969] , By, [0.48938813] , [-0.04238082], [0.87103566] , Bz, [0.11448625] , [0.66828951] , [0.7350388]
Time, 01/02/2024 15:06:18, X, -826945.5145219893 , Y, -5467707.349289493 , Z, 4024933.925132281  , Lat, 0.629174325074893    , Lon, -1.72090045776239  , Alt, 468572.7675888594  , Bx, [0.99077492] , [0.13340744] , [-0.02382268], By, [-0.07680324], [-0.63030039], [-0.772543]  , Bz, [0.67835833] , [0.45926187] , [0.57350546]
Time, 01/02/2024 15:06:19, X, -523776.56377811905, Y, -5413125.642035418 , Z, 3851303.74463654   , Lat, 0.6161865780325119   , Lon, -1.6672565025375912, Alt, 292993.67036584206 , Bx, [0.85940997] , [-0.51036328], [-0.03072196], By, [-0.01848739], [0.74416441] , [0.66774063] , Bz, [0.47837391] , [0.38872504] , [-0.78743333]
Time, 01/02/2024 15:06:20, X, -167204.99691793002, Y, -5252672.833155768 , Z, 4011606.7748590587 , Lat, 0.651984252316732    , Lon, -1.6026179460534378, Alt, 240468.69608123135 , Bx, [-0.41534443], [-0.75746875], [0.50371628] , By, [-0.12166177], [0.52645916] , [-0.84145063], Bz, [0.30621675] , [0.52031859] , [0.79718245]
