Time, 01/02/2024 15:05:52, X, -297369.7369101366 , Y, -3483106.470537965 , Z,    5326272.763806465 , Lat, 13.55635667         , Lon, 80.02544433           , Alt, 0                  , Bx, [0.07111624] , [0.83298807] , [0.54870152] , By, [0.99637537] , [-0.08506541], [0.]         , Bz, [0.04667552] , [0.54671268] , [-0.83601833]
Time, 01/02/2024 15:05:53, X, -297482.0032500565 , Y, -3482843.8601207836, Z,    5326030.479598612 , Lat,  0.9899982715695806 , Lon, -1.6560030548404887   , Alt, -340.8845040118322 , Bx, [0.48036818] , [0.6074823]  , [0.63262285] , By, [0.469571]   , [-0.75226869], [0.46216328] , Bz, [-0.31845032], [0.67674691] , [-0.66377934]
Time, 01/02/2024 15:05:54, X, -298473.6767371569 , Y, -3483448.456815092 , Z,    5324845.84540225  , Lat,  0.9898060776646531 , Lon, -1.65627095117061     , Alt, -954.2415858544409 , Bx, [0.17583951] , [0.5288894]  , [-0.83027494], By, [-0.92687614], [0.37461852] , [-0.02369779], Bz, [-0.55309222], [-0.63639111], [-0.53767588]
Time, 01/02/2024 15:05:55, X, -296584.57063351135, Y, -3482172.3691969016, Z,    5322636.607729647 , Lat,  0.9898036754304314 , Lon, -1.6557635460563276   , Alt, -3587.0815314641222, Bx, [0.21660198] , [-0.05434646], [-0.97474614], By, [-0.4420289] , [0.8330561]  , [-0.33260784], Bz, [0.84757679] , [0.48686811] , [-0.21112324]
Time, 01/02/2024 15:05:56, X, -297928.35772023525, Y, -3478084.159420158 , Z,    5315534.125342458 , Lat,  0.9897110844774728 , Lon, -1.656246494172258    , Alt, -11697.069330357015, Bx, [-0.64297466], [-0.41733358], [0.64219644] , By, [0.07715622] , [0.85467272] , [0.51340185] , Bz, [-0.38545035], [0.53113457] , [-0.75453568]
Time, 01/02/2024 15:05:57, X, -294554.87999376137, Y, -3482788.449576851 , Z,    5312287.541666183 , Lat,  0.9888523021281557 , Lon, -1.6551699779959606   , Alt, -11992.460519031622, Bx, [-0.36909003], [-0.92741569], [-0.06060272], By, [-0.95027032], [0.10097794] , [0.29460103] , Bz, [0.414428]   , [-0.8244807] , [0.38533233]
Time, 01/02/2024 15:05:58, X, -287145.8797964222 , Y, -3495169.163964508 , Z,    5314410.811683463 , Lat,  0.9874975841505582 , Lon, -1.6527673112689243   , Alt, -3769.635363386944 , Bx, [0.40819375] , [0.71912751] , [-0.56234641], By, [-0.72090388], [-0.50729189], [0.4721785]  , Bz, [0.31049454] , [-0.76137875], [0.56911822]
Time, 01/02/2024 15:05:59, X, -280624.08611409203, Y, -3502368.2318948377, Z,    5295233.561852727 , Lat,  0.9849623362113382 , Lon, -1.65074961746663     , Alt, -16093.896518606693, Bx, [-0.28922041], [-0.1002557] , [0.95199808] , By, [0.30156485] , [-0.66332362], [0.68487986] , Bz, [0.00387807] , [0.15769733] , [-0.98747988]
Time, 01/02/2024 15:06:00, X, -292036.1540954089 , Y, -3515273.9860479045, Z,    5270035.412607845 , Lat,  0.9809533256346161 , Lon, -1.6536823484659644   , Alt, -29414.27067135647 , Bx, [0.77271637] , [0.60338073] , [-0.1970815] , By, [-0.51258843], [0.74337379] , [-0.42970747], Bz, [-0.88500426], [-0.1869047] , [-0.42642009]
Time, 01/02/2024 15:06:01, X, -329087.29601614224, Y, -3530652.0662514414, Z,    5234787.727192784 , Lat,  0.9754114268518657 , Lon, -1.663736442822322    , Alt, -48278.670533313416, Bx, [0.76871841] , [0.26922943] , [0.58016163] , By, [-0.42926238], [-0.22736575], [-0.87409303], Bz, [-0.946137]  , [-0.0570084] , [-0.31870805]
Time, 01/02/2024 15:06:02, X, -338794.12318651786, Y, -3537874.59285143  , Z,    5167771.435516871 , Lat,  0.9683491474706039 , Lon, -1.666267252339745    , Alt, -99062.52403665241 , Bx, [0.35682942] , [0.73466406] , [0.57701082] , By, [0.14488691] , [-0.98941469], [0.00814574] , Bz, [0.52045573] , [0.28515632] , [-0.80486751]
Time, 01/02/2024 15:06:03, X, -314931.7570814388 , Y, -3577661.139262874 , Z,    5100296.299312476 , Lat,  0.95727455757245   , Lon, -1.6585972833866274   , Alt, -133062.55403353088, Bx, [-0.0208587] , [-0.95368156], [-0.30009398], By, [0.19623731] , [0.83359385] , [0.51634505] , Bz, [0.88548033] , [-0.46121429], [-0.05662121]
Time, 01/02/2024 15:06:04, X, -355454.4293993903 , Y, -3629289.423425485 , Z,    5019638.9778949125, Lat,  0.9425203852678659 , Lon, -1.6684254596755048   , Alt, -166576.97777064703, Bx, [0.39559467] , [-0.60514396], [0.6908731]  , By, [-0.50626122], [0.52590012] , [-0.6834681] , Bz, [-0.93300489], [-0.30472506], [-0.19142756]
Time, 01/02/2024 15:06:05, X, -439378.3681506038 , Y, -3654770.1021919968, Z,    4938563.925212902 , Lat,  0.9302612199975022 , Lon, -1.6904426383430309   , Alt, -211469.86421127617, Bx, [-0.21524198], [0.408569]   , [-0.88698493], By, [0.06812036] , [0.52290662] , [0.84966363] , Bz, [-0.91564065], [0.3814583]  , [0.12685328]
Time, 01/02/2024 15:06:06, X, -558846.3354439666 , Y, -3722351.6287015765, Z,    4881372.675639374 , Lat,  0.9139220255391549 , Lon, -1.719815955953936    , Alt, -206909.63135556132, Bx, [0.54979777] , [-0.622737]  , [-0.55670552], By, [-0.29693156], [0.84050564] , [-0.45319081], Bz, [-0.72360627], [-0.47281561], [0.50283135]
Time, 01/02/2024 15:06:07, X, -681433.43376043   , Y, -3795420.9755456527, Z,    4888271.264602905 , Lat,  0.9028917941664463 , Lon, -1.748444572173864    , Alt, -144864.13073076867, Bx, [0.59740989] , [-0.51042563], [-0.61852009], By, [-0.6448058] , [0.56148252] , [-0.5186163] , Bz, [-0.15822151], [-0.13874164], [0.97760765]
Time, 01/02/2024 15:06:08, X, -829408.4973117473 , Y, -3832959.386071094 , Z,    4955530.1722486075, Lat,  0.9013382685758701 , Lon, -1.7838993010106385   , Alt, -51444.9999426594  , Bx, [-0.48710449], [-0.86439992], [0.12466754] , By, [-0.74204523], [-0.06455641], [0.66723411] , Bz, [-0.18279783], [0.40758977] , [0.89468181]
Time, 01/02/2024 15:06:09, X, -932625.8750515453 , Y, -3985744.356579317 , Z,    5001729.169971324 , Lat,  0.884937577589254  , Lon, -1.8006512997374866   , Alt, 92222.39974469412  , Bx, [0.34253949] , [-0.89535741], [0.28460815] , By, [0.94604998] , [0.08857632] , [0.3116788]  , Bz, [0.48124024] , [-0.87375798], [0.0703905]
Time, 01/02/2024 15:06:10, X, -1079670.4890548396, Y, -4104900.832296744 , Z,    5161216.337519221 , Lat,  0.8825534270684849 , Lon, -1.8279909533879204   , Alt, 311368.8382639978  , Bx, [-0.01523801], [-0.96229283], [0.27158849] , By, [-0.47845998], [0.64603679] , [0.59473735] , Bz, [-0.18251828], [0.09414573] , [0.97868466]
Time, 01/02/2024 15:06:11, X, -1143852.7038568135, Y, -4127154.5652627056, Z,    5293696.063812646 , Lat,  0.8905764245289791 , Lon, -1.8411629335930817   , Alt, 438186.576215609   , Bx, [0.30173646] , [0.90689563] , [-0.29410104], By, [0.46622814] , [-0.87225449], [-0.14765986], Bz, [0.68201066] , [0.73134222] , [0.00011135]
Time, 01/02/2024 15:06:12, X, -1155486.200591728 , Y, -4067020.3529368257, Z,    5395536.257818155 , Lat,  0.9061315116199182 , Lon, -1.8476132990563325   , Alt, 483751.229650178   , Bx, [-0.23512866], [0.7106152]  , [0.66312936] , By, [-0.05673842], [-0.9751043] , [-0.21436501], Bz, [0.5642937]  , [0.78934647] , [-0.2418776]
Time, 01/02/2024 15:06:13, X, -1163015.227702492 , Y, -3893969.818768369 , Z,    5460999.174409622 , Lat,  0.9310335854274079 , Lon, -1.8610332606573934   , Alt, 436210.6881048875  , Bx, [-0.248599]  , [0.95106741] , [-0.183492]  , By, [0.66494077] , [-0.74517325], [-0.05070101], Bz, [0.22547546] , [0.91574437] , [-0.33252527]
Time, 01/02/2024 15:06:14, X, -1177180.7839984773, Y, -3804673.474503566 , Z,    5367259.938661296 , Lat,  0.9324208218654303 , Lon, -1.870858061415098    , Alt, 312470.2135166852  , Bx, [-0.51375476], [0.78348699] , [-0.34957715], By, [-0.83107497], [-0.25091639], [-0.49634198], Bz, [-0.04870921], [-0.20164075], [-0.97824763]
Time, 01/02/2024 15:06:15, X, -1272713.8219637766, Y, -3817684.347500775 , Z,    5483360.981843171 , Lat,  0.9376788329639694 , Lon, -1.8925828018865527   , Alt, 430599.9519943958  , Bx, [-0.43207447], [0.11086341] , [0.89499774] , By, [0.80317636] , [0.47179226] , [-0.3637579] , Bz, [-0.35281733], [-0.59394736], [0.72301208]
Time, 01/02/2024 15:06:16, X, -1533862.9489362398, Y, -3687388.3094662977, Z,    5592962.622474737 , Lat,  0.9506986673149697 , Lon, -1.9649983218826668   , Alt, 501466.7323536454  , Bx, [-0.751673]  , [0.3594627]  , [-0.55296859], By, [0.41248755] , [-0.03147652], [0.91041927] , Bz, [-0.86986881], [0.46878742] , [0.15351419]
Time, 01/02/2024 15:06:17, X, -1523989.420622923 , Y, -3713647.3764946684, Z,    5721122.407804033 , Lat,  0.9589680116334847 , Lon, -1.9602148674414819   , Alt, 617917.0975333322  , Bx, [0.43014123] , [0.38558273] , [0.81627476] , By, [0.22808202] , [0.42150662] , [-0.87767349], Bz, [0.88788346] , [-0.45969853], [0.01844525]
Time, 01/02/2024 15:06:18, X, -1836858.075048644 , Y, -3684194.125426808 , Z,    5997162.121177152 , Lat,  0.9692266304017094 , Lon, -2.0333056750220813   , Alt, 903152.0089549161  , Bx, [-0.97567931], [0.1806055]  , [0.12422376] , By, [0.22138228] , [-0.59936133], [-0.76925671], Bz, [-0.85496148], [0.02694752] , [0.51799103]
Time, 01/02/2024 15:06:19, X, -1864637.5744721037, Y, -3867016.70831765  , Z,    6261336.668340141 , Lat,  0.9697649263682284 , Lon, -2.0200948549815925   , Alt, 1220773.730877514  , Bx, [-0.63383363], [-0.27127925], [-0.7243359] , By, [-0.21649937], [0.1453144]  , [-0.96540756], Bz, [0.69614581] , [-0.71767795], [0.01787091]
Time, 01/02/2024 15:06:20, X, -2137720.933378593 , Y, -3782085.896905305 , Z,    6353845.636424092 , Lat,  0.9710617283189604 , Lon, -2.0852516894673556   , Alt, 1326101.9801013758 , Bx, [-0.29003398], [0.71036784] , [-0.64129387], By, [0.78861253] , [-0.18156363], [-0.58747334], Bz, [-0.52350007], [0.63526149] , [-0.56779443]
Time, 01/02/2024 15:06:21, X, -2261830.706547116 , Y, -3507741.3690889347, Z,    6337441.045936846 , Lat,  0.988409718154815  , Lon, -2.1435151887403325   , Alt, 1217365.2171085207 , Bx, [0.98713657] , [0.14299412] , [0.07151281] , By, [0.25731075] , [0.37743421] , [-0.88956989], Bz, [0.29680845] , [0.80379981] , [-0.51556824]
